genome	genome_accession	source	protein_type	domains	domain_combination_type	count_raw	count_normalized_by_genome_size	count_normalized_by_total_proteins
GCF_000007345.1	GCF_000007345	mistdb	hk	MEDS	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	GAF_2,PAS_3,PAS_4,PAS_9,hole	domain_comb	2	3.477358570610895e-07	0.0004095004095004095
GCF_000007345.1	GCF_000007345	mistdb	hk	MEDS,PAS_3,PAS_4,PAS_9,hole	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	PAS_3,PAS_4	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	PAS_3,PAS_9	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	MASE3,PAS_3	domain_comb	3	5.216037855916343e-07	0.0006142506142506142
GCF_000007345.1	GCF_000007345	mistdb	hk	GAF_3,PAS_3,PAS_4,hole	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	PAS,PAS_3,PAS_8,PAS_9,hole	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	PAS_4,PAS_9	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	PAS_3	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	CHASE4,PAS_4,hole	domain_comb	4	6.95471714122179e-07	0.000819000819000819
GCF_000007345.1	GCF_000007345	mistdb	hk	CHASE4,hole	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	MEDS,PAS_3,PAS_4	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	MEDS,PAS_3,PAS_9	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	PAS_4,hole	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	PAS_3,hole	domain_comb	3	5.216037855916343e-07	0.0006142506142506142
GCF_000007345.1	GCF_000007345	mistdb	hk	GAF_2,PAS_3,PAS_9,hole	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	PAS_8,PAS_9,hole	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	GAF_3,PAS_3,PAS_9,hole	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	PAS_3,PAS_9,PocR,hole	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	GAF_3,PAS_4,hole	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	PAS_3,PAS_4,hole	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	GAF_2,PAS_3	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	PAS_9	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	GAF,PAS,PAS_8,hole	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	HisKA_7TM,PAS	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	MEDS,PAS,PAS_3,PAS_9,PocR	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	MEDS,PAS_3,PAS_9,PocR	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	MEDS,PAS,PAS_3,PAS_4,PAS_9	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	GAF_2,MEDS,PAS_3,PAS_4,PAS_9	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	MEDS,PAS_4,PAS_9	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	MEDS,PAS,PAS_3,PAS_4,PAS_9,PocR	domain_comb	2	3.477358570610895e-07	0.0004095004095004095
GCF_000007345.1	GCF_000007345	mistdb	hk	GAF_2,MEDS,PAS,PAS_3,PAS_4,PAS_9	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	GAF_2,MEDS,PAS_3,PAS_4,PAS_9,hole	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	PAS_3,PAS_9,PocR	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	Hpt,PAS_3,PAS_9	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000007345.1	GCF_000007345	mistdb	hk	PAS_3,PAS_8,hole	domain_comb	1	1.7386792853054476e-07	0.00020475020475020476
GCF_000008645.1	GCF_000008645	mistdb	hk	PAS_4	domain_comb	1	5.709792922940064e-07	0.0005330490405117271
GCF_000008645.1	GCF_000008645	mistdb	hk	PAS_8	domain_comb	1	5.709792922940064e-07	0.0005330490405117271
GCF_000008645.1	GCF_000008645	mistdb	hk	PAS	domain_comb	1	5.709792922940064e-07	0.0005330490405117271
GCF_000008645.1	GCF_000008645	mistdb	hk	PAS,PAS_8,hole	domain_comb	1	5.709792922940064e-07	0.0005330490405117271
GCF_000008645.1	GCF_000008645	mistdb	hk	hole	domain_comb	6	3.4258757537640382e-06	0.0031982942430703624
GCF_000008645.1	GCF_000008645	mistdb	hk	PAS,PAS_4,hole	domain_comb	1	5.709792922940064e-07	0.0005330490405117271
GCF_000008645.1	GCF_000008645	mistdb	hk	HisKA_7TM,PAS,PAS_3,PAS_4	domain_comb	1	5.709792922940064e-07	0.0005330490405117271
GCF_000008645.1	GCF_000008645	mistdb	hk	PAS,PAS_9,hole	domain_comb	1	5.709792922940064e-07	0.0005330490405117271
GCF_000008665.1	GCF_000008665	mistdb	hk	PAS,PAS_4,hole	domain_comb	1	4.590525156077855e-07	0.0003971405877680699
GCF_000008665.1	GCF_000008665	mistdb	hk	PAS_3,PAS_9	domain_comb	1	4.590525156077855e-07	0.0003971405877680699
GCF_000008665.1	GCF_000008665	mistdb	hk	CHASE4	domain_comb	1	4.590525156077855e-07	0.0003971405877680699
GCF_000008665.1	GCF_000008665	mistdb	hk	GAF_2,PAS_3,PAS_9,hole	domain_comb	1	4.590525156077855e-07	0.0003971405877680699
GCF_000008665.1	GCF_000008665	mistdb	hk	hole	domain_comb	2	9.18105031215571e-07	0.0007942811755361397
GCF_000008665.1	GCF_000008665	mistdb	hk	PAS_3	domain_comb	1	4.590525156077855e-07	0.0003971405877680699
GCF_000008665.1	GCF_000008665	mistdb	hk	PAS_4,PAS_8,hole	domain_comb	1	4.590525156077855e-07	0.0003971405877680699
GCF_000008665.1	GCF_000008665	mistdb	hk	PAS	domain_comb	2	9.18105031215571e-07	0.0007942811755361397
GCF_000008665.1	GCF_000008665	mistdb	hk	PAS_9	domain_comb	2	9.18105031215571e-07	0.0007942811755361397
GCF_000008665.1	GCF_000008665	mistdb	hk	PAS,PAS_3	domain_comb	1	4.590525156077855e-07	0.0003971405877680699
GCF_000008665.1	GCF_000008665	mistdb	hk	PAS,PAS_9	domain_comb	1	4.590525156077855e-07	0.0003971405877680699
GCF_000008665.1	GCF_000008665	mistdb	hk	PAS_3,PAS_9,hole	domain_comb	1	4.590525156077855e-07	0.0003971405877680699
GCF_000008665.1	GCF_000008665	mistdb	hk	SPOB_a,hole	domain_comb	1	4.590525156077855e-07	0.0003971405877680699
GCF_000009185.1	GCF_000009185	mistdb	hk	PAS_4	domain_comb	1	3.145286112523869e-07	0.00032562683165092806
GCF_000009185.1	GCF_000009185	mistdb	hk	hole	domain_comb	1	3.145286112523869e-07	0.00032562683165092806
GCF_000009185.1	GCF_000009185	mistdb	hk	HisKA_4TM,PAS_4	domain_comb	1	3.145286112523869e-07	0.00032562683165092806
GCF_000009185.1	GCF_000009185	mistdb	hk	PAS_9	domain_comb	1	3.145286112523869e-07	0.00032562683165092806
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS_4,PAS_9	domain_comb	5	1.690539907730332e-06	0.0016366612111292963
GCF_000011005.1	GCF_000011005	mistdb	hk	GAF_2,hole	domain_comb	2	6.762159630921327e-07	0.0006546644844517185
GCF_000011005.1	GCF_000011005	mistdb	hk	GAF_2	domain_comb	3	1.014323944638199e-06	0.0009819967266775777
GCF_000011005.1	GCF_000011005	mistdb	hk	HATPase_c_3	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS,PAS_3,PAS_4,PAS_9	domain_comb	2	6.762159630921327e-07	0.0006546644844517185
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS_3,hole	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	HAMP,hole	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	nodomain	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS_9	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS_3,PAS_9,hole	domain_comb	2	6.762159630921327e-07	0.0006546644844517185
GCF_000011005.1	GCF_000011005	mistdb	hk	GAF_2,PAS_3,PAS_4	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS,PAS_4,PAS_9	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	GAF_2,PAS_3	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS,PAS_8,PAS_9	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS,PAS_3	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS,PAS_9	domain_comb	2	6.762159630921327e-07	0.0006546644844517185
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS_3,dCache_1,hole	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS_3,PAS_4	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS_3,PAS_9	domain_comb	4	1.3524319261842654e-06	0.001309328968903437
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS_3,PAS_4,PAS_9	domain_comb	2	6.762159630921327e-07	0.0006546644844517185
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS_9,hole	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS,hole	domain_comb	2	6.762159630921327e-07	0.0006546644844517185
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS,PAS_3,PAS_9	domain_comb	3	1.014323944638199e-06	0.0009819967266775777
GCF_000011005.1	GCF_000011005	mistdb	hk	HAMP,PAS_3,dCache_1	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS_4	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	GAF_2,PAS_3,PAS_9	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	GAF_2,PAS_3,PAS_8,PAS_9	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS_8,PAS_9	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS_3	domain_comb	2	6.762159630921327e-07	0.0006546644844517185
GCF_000011005.1	GCF_000011005	mistdb	hk	GAF,PAS_3	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	hole	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS_3,PAS_8,PAS_9	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS,PAS_3,PAS_4	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS,PAS_3,PAS_8,PAS_9	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011005.1	GCF_000011005	mistdb	hk	PAS,PAS_3,PAS_8	domain_comb	1	3.3810798154606635e-07	0.0003273322422258593
GCF_000011085.1	GCF_000011085	mistdb	hk	HisKA_7TM,PAS_4	domain_comb	3	7.018131576866554e-07	0.0006737031214911295
GCF_000011085.1	GCF_000011085	mistdb	hk	hole	domain_comb	3	7.018131576866554e-07	0.0006737031214911295
GCF_000011085.1	GCF_000011085	mistdb	hk	HisKA_7TM,PAS_8,hole	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011085.1	GCF_000011085	mistdb	hk	PAS	domain_comb	2	4.678754384577703e-07	0.00044913541432741973
GCF_000011085.1	GCF_000011085	mistdb	hk	HisKA_7TM,PAS	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011085.1	GCF_000011085	mistdb	hk	PAS_8	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011085.1	GCF_000011085	mistdb	hk	PAS_4	domain_comb	5	1.1696885961444256e-06	0.0011228385358185494
GCF_000011085.1	GCF_000011085	mistdb	hk	PAS_9	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011085.1	GCF_000011085	mistdb	hk	PAS_4,hole	domain_comb	3	7.018131576866554e-07	0.0006737031214911295
GCF_000011085.1	GCF_000011085	mistdb	hk	HisKA_4TM	domain_comb	2	4.678754384577703e-07	0.00044913541432741973
GCF_000011085.1	GCF_000011085	mistdb	hk	PAS_3	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011085.1	GCF_000011085	mistdb	hk	GAF_2,PAS_4	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011085.1	GCF_000011085	mistdb	hk	PAS_9,hole	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011085.1	GCF_000011085	mistdb	hk	HisKA_7TM,PAS,PAS_4,PAS_8	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011085.1	GCF_000011085	mistdb	hk	PAS,PAS_3,PAS_4	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011085.1	GCF_000011085	mistdb	hk	HisKA_7TM,PAS_3,PAS_4	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011085.1	GCF_000011085	mistdb	hk	HAMP,hole	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011085.1	GCF_000011085	mistdb	hk	GAF_3	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011085.1	GCF_000011085	mistdb	hk	GAF_2,hole	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011085.1	GCF_000011085	mistdb	hk	GAF_2	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011085.1	GCF_000011085	mistdb	hk	GAF_2,PAS_3,PAS_4,PAS_9	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011085.1	GCF_000011085	mistdb	hk	PAS_4,PAS_9,hole	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011085.1	GCF_000011085	mistdb	hk	GAF_2,GAF_3,PAS,PAS_3,PAS_4,PAS_9,hole	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011085.1	GCF_000011085	mistdb	hk	nodomain	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011085.1	GCF_000011085	mistdb	hk	PAS,PAS_4,dCache_1,hole	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011085.1	GCF_000011085	mistdb	hk	HisKA_7TM,PAS,hole	domain_comb	1	2.3393771922888514e-07	0.00022456770716370987
GCF_000011585.1	GCF_000011585	mistdb	hk	HAMP,hole,sCache_3_3	domain_comb	2	1.2039946133281e-06	0.0011435105774728416
GCF_000013445.1	GCF_000013445	mistdb	hk	CHASE4,HAMP,PAS_9	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	hole	domain_comb	7	1.9747580780300264e-06	0.0020497803806734994
GCF_000013445.1	GCF_000013445	mistdb	hk	PAS,PAS_9,hole	domain_comb	2	5.642165937228647e-07	0.0005856515373352855
GCF_000013445.1	GCF_000013445	mistdb	hk	PAS,PAS_4,hole	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	HAMP,dCache_1	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	nodomain	domain_comb	4	1.1284331874457294e-06	0.001171303074670571
GCF_000013445.1	GCF_000013445	mistdb	hk	PAS	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	PAS_4,PAS_8,PAS_9	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	MASE3,PAS_4	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	HisKA_7TM,PAS_8	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	ABC_sub_bind,PAS_4,PAS_9	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	PAS,PAS_3,PAS_8	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	PAS_9,hole	domain_comb	2	5.642165937228647e-07	0.0005856515373352855
GCF_000013445.1	GCF_000013445	mistdb	hk	HAMP,PAS,hole	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	PAS_4,PAS_8,PAS_9,hole	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	PAS,PAS_3,PAS_4,PAS_8,hole	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	PAS_3,hole	domain_comb	2	5.642165937228647e-07	0.0005856515373352855
GCF_000013445.1	GCF_000013445	mistdb	hk	GAF,PAS,PAS_3,PAS_9	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	PAS_3,Phosphonate-bd	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	PAS,PAS_3,PAS_4,PAS_8,PAS_9,PocR,hole	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	PAS,PAS_8	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	CHASE4,PAS_4,PAS_9,hole	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	PAS_3,PAS_4	domain_comb	2	5.642165937228647e-07	0.0005856515373352855
GCF_000013445.1	GCF_000013445	mistdb	hk	HisKA_7TM,PAS_9	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	Fe_dep_repr_C,Fe_dep_repress	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	HAMP,PAS,PAS_8,dCache_1	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	PAS,hole	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	HAMP,PAS_8,PAS_9,dCache_1,hole	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	HisKA_7TM	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013445.1	GCF_000013445	mistdb	hk	PAS,PAS_4,PAS_8,PAS_9,hole	domain_comb	1	2.8210829686143234e-07	0.00029282576866764275
GCF_000013725.1	GCF_000013725	mistdb	hk	PAS_9	domain_comb	4	1.553378754128104e-06	0.0015290519877675841
GCF_000013725.1	GCF_000013725	mistdb	hk	nodomain	domain_comb	12	4.6601362623843125e-06	0.0045871559633027525
GCF_000013725.1	GCF_000013725	mistdb	hk	GAF,PAS_7,PAS_8,hole	domain_comb	1	3.88344688532026e-07	0.00038226299694189603
GCF_000013725.1	GCF_000013725	mistdb	hk	PAS,PAS_3,PAS_9	domain_comb	2	7.76689377064052e-07	0.0007645259938837921
GCF_000013725.1	GCF_000013725	mistdb	hk	PAS_9,SBP_bac_3	domain_comb	2	7.76689377064052e-07	0.0007645259938837921
GCF_000013725.1	GCF_000013725	mistdb	hk	PAS_3,dCache_1,hole	domain_comb	3	1.1650340655960781e-06	0.0011467889908256881
GCF_000013725.1	GCF_000013725	mistdb	hk	GAF,PAS_9	domain_comb	1	3.88344688532026e-07	0.00038226299694189603
GCF_000013725.1	GCF_000013725	mistdb	hk	PAS_3,PAS_4	domain_comb	1	3.88344688532026e-07	0.00038226299694189603
