genome	genome_accession	ncbi_protein_accession	mist_protein_accession	protein_type	source	protein_length	domain_architecture	sensors_or_regulators	domain_counts	domains
GCF_000007065.1	GCF_000007065	WP_011035184.1	GCF_000007065.1-MM_RS17120	hk	mistdb	923	hole:1-164,GAF_3:165-303,PAS_4:321-435,PAS_3:468-556,PAS_3:596-685,HisKA_2:708-783	GAF_3,PAS_4,PAS_3,PAS_3	GAF_3:1,HisKA_2:1,PAS_3:2,PAS_4:1,hole:1	GAF_3,HisKA_2,PAS_3,PAS_4,hole
GCF_000007065.1	GCF_000007065	WP_011034999.1	GCF_000007065.1-MM_RS16140	hk	mistdb	715	CHASE4:53-206,hole:207-362,PAS_4:363-469,HisKA:486-554,HATPase_c:600-712	CHASE4,PAS_4	CHASE4:1,HATPase_c:1,HisKA:1,PAS_4:1,hole:1	CHASE4,HATPase_c,HisKA,PAS_4,hole
GCF_000007065.1	GCF_000007065	WP_011034997.1	GCF_000007065.1-MM_RS16130	hk	mistdb	707	CHASE4:52-205,hole:206-480,HisKA:481-549,HATPase_c:595-707	CHASE4	CHASE4:1,HATPase_c:1,HisKA:1,hole:1	CHASE4,HATPase_c,HisKA,hole
GCF_000007065.1	GCF_000007065	WP_052273711.1	GCF_000007065.1-MM_RS15555	hk	mistdb	446	hole:1-115,PAS_3:116-205,HisKA_2:228-302,HATPase_c:324-443	PAS_3	HATPase_c:1,HisKA_2:1,PAS_3:1,hole:1	HATPase_c,HisKA_2,PAS_3,hole
GCF_000007065.1	GCF_000007065	WP_011034866.1	GCF_000007065.1-MM_RS15420	hk	mistdb	839	dCache_1:37-295,hole:296-524,PAS_3:525-612,HisKA_2:635-710,HATPase_c:731-834	dCache_1,PAS_3	HATPase_c:1,HisKA_2:1,PAS_3:1,dCache_1:1,hole:1	HATPase_c,HisKA_2,PAS_3,dCache_1,hole
GCF_000007065.1	GCF_000007065	WP_011034793.1	GCF_000007065.1-MM_RS14985	hk	mistdb	668	hole:1-123,GAF_3:124-263,PAS_4:320-435,HisKA_2:450-528,HATPase_c:550-661	GAF_3,PAS_4	GAF_3:1,HATPase_c:1,HisKA_2:1,PAS_4:1,hole:1	GAF_3,HATPase_c,HisKA_2,PAS_4,hole
GCF_000007065.1	GCF_000007065	WP_011034682.1	GCF_000007065.1-MM_RS17985	hk	mistdb	807	PAS_4:55-165,PAS_3:222-309,PAS_9:337-438,PAS_9:457-560,HisKA:580-648,HATPase_c:694-806	PAS_4,PAS_3,PAS_9,PAS_9	HATPase_c:1,HisKA:1,PAS_3:1,PAS_4:1,PAS_9:2	HATPase_c,HisKA,PAS_3,PAS_4,PAS_9
GCF_000007065.1	GCF_000007065	WP_080503116.1	GCF_000007065.1-MM_RS14235	hk	mistdb	975	PocR:28-190,PAS_9:243-344,PAS:370-474,PAS_8:502-553,PAS:619-729,HisKA_2:749-830,HATPase_c:853-959	PocR,PAS_9,PAS,PAS_8,PAS	HATPase_c:1,HisKA_2:1,PAS:2,PAS_8:1,PAS_9:1,PocR:1	HATPase_c,HisKA_2,PAS,PAS_8,PAS_9,PocR
GCF_000007065.1	GCF_000007065	WP_011034558.1	GCF_000007065.1-MM_RS13700	hk	mistdb	883	PocR:48-210,PAS_9:244-346,PAS_4:365-475,PAS_3:532-619,HisKA_2:642-723,HATPase_c:746-869	PocR,PAS_9,PAS_4,PAS_3	HATPase_c:1,HisKA_2:1,PAS_3:1,PAS_4:1,PAS_9:1,PocR:1	HATPase_c,HisKA_2,PAS_3,PAS_4,PAS_9,PocR
GCF_000007065.1	GCF_000007065	WP_011034541.1	GCF_000007065.1-MM_RS13605	hk	mistdb	716	CHASE4:54-205,hole:206-362,PAS_4:363-469,HisKA:486-554,HATPase_c:600-711	CHASE4,PAS_4	CHASE4:1,HATPase_c:1,HisKA:1,PAS_4:1,hole:1	CHASE4,HATPase_c,HisKA,PAS_4,hole
GCF_000007065.1	GCF_000007065	WP_080503085.1	GCF_000007065.1-MM_RS15355	hk	mistdb	891	dCache_1:53-311,hole:312-541,PAS_3:542-628,HisKA_2:651-726,HATPase_c:748-889	dCache_1,PAS_3	HATPase_c:1,HisKA_2:1,PAS_3:1,dCache_1:1,hole:1	HATPase_c,HisKA_2,PAS_3,dCache_1,hole
GCF_000007065.1	GCF_000007065	WP_048038248.1	GCF_000007065.1-MM_RS13045	hk	mistdb	1062	hole:1-186,PAS_4:187-301,PAS_3:333-422,PAS_3:462-551,PAS_3:591-680,PAS_3:720-809,HisKA_2:832-907,HATPase_c:929-1049	PAS_4,PAS_3,PAS_3,PAS_3,PAS_3	HATPase_c:1,HisKA_2:1,PAS_3:4,PAS_4:1,hole:1	HATPase_c,HisKA_2,PAS_3,PAS_4,hole
GCF_000007065.1	GCF_000007065	WP_011034204.1	GCF_000007065.1-MM_RS17540	hk	mistdb	1259	MEDS:20-179,PAS_3:267-354,PAS_9:382-482,PAS_4:520-611,PAS_9:631-740,PAS_3:800-888,PAS_3:928-1017,HisKA_2:1040-1121,HATPase_c:1143-1259	MEDS,PAS_3,PAS_9,PAS_4,PAS_9,PAS_3,PAS_3	HATPase_c:1,HisKA_2:1,MEDS:1,PAS_3:3,PAS_4:1,PAS_9:2	HATPase_c,HisKA_2,MEDS,PAS_3,PAS_4,PAS_9
GCF_000007065.1	GCF_000007065	WP_011034203.1	GCF_000007065.1-MM_RS17535	hk	mistdb	1107	MEDS:20-179,PAS_4:215-322,PAS_9:342-451,PAS:464-578,PAS_3:640-727,PAS_3:767-858,HisKA_2:881-962,HATPase_c:985-1101	MEDS,PAS_4,PAS_9,PAS,PAS_3,PAS_3	HATPase_c:1,HisKA_2:1,MEDS:1,PAS:1,PAS_3:2,PAS_4:1,PAS_9:1	HATPase_c,HisKA_2,MEDS,PAS,PAS_3,PAS_4,PAS_9
GCF_000007065.1	GCF_000007065	WP_011034202.1	GCF_000007065.1-MM_RS11790	hk	mistdb	1171	MEDS:20-179,PAS_4:215-322,PocR:355-517,PAS_3:564-653,PAS_4:677-787,PAS_3:844-931,HisKA_2:954-1035	MEDS,PAS_4,PocR,PAS_3,PAS_4,PAS_3	HisKA_2:1,MEDS:1,PAS_3:2,PAS_4:2,PocR:1	HisKA_2,MEDS,PAS_3,PAS_4,PocR
GCF_000007065.1	GCF_000007065	WP_048045904.1	GCF_000007065.1-MM_RS11285	hk	mistdb	847	MEDS:24-111,PAS:210-318,PAS_9:343-443,PAS_4:462-572,HisKA:590-658,HATPase_c:704-816	MEDS,PAS,PAS_9,PAS_4	HATPase_c:1,HisKA:1,MEDS:1,PAS:1,PAS_4:1,PAS_9:1	HATPase_c,HisKA,MEDS,PAS,PAS_4,PAS_9
GCF_000007065.1	GCF_000007065	WP_048036359.1	GCF_000007065.1-MM_RS09245	hk	mistdb	654	MASE3:13-256,PAS_3:331-419,HisKA_2:443-518,HATPase_c:540-654	MASE3,PAS_3	HATPase_c:1,HisKA_2:1,MASE3:1,PAS_3:1	HATPase_c,HisKA_2,MASE3,PAS_3
GCF_000007065.1	GCF_000007065	WP_011033717.1	GCF_000007065.1-MM_RS09220	hk	mistdb	645	MASE3:2-241,PAS_3:318-407,HisKA_2:430-505,HATPase_c:526-641	MASE3,PAS_3	HATPase_c:1,HisKA_2:1,MASE3:1,PAS_3:1	HATPase_c,HisKA_2,MASE3,PAS_3
GCF_000007065.1	GCF_000007065	WP_052273705.1	GCF_000007065.1-MM_RS12625	hk	mistdb	932	PAS_4:80-169,PAS_9:189-298,PAS_3:357-443,PAS_9:467-570,PAS_4:610-699,HisKA_2:714-795,HATPase_c:818-927	PAS_4,PAS_9,PAS_3,PAS_9,PAS_4	HATPase_c:1,HisKA_2:1,PAS_3:1,PAS_4:2,PAS_9:2	HATPase_c,HisKA_2,PAS_3,PAS_4,PAS_9
GCF_000007065.1	GCF_000007065	WP_011033614.1	GCF_000007065.1-MM_RS08650	hk	mistdb	848	PocR:47-209,hole:210-367,PAS_9:368-469,PAS_3:529-616,HisKA_2:639-714,HATPase_c:736-848	PocR,PAS_9,PAS_3	HATPase_c:1,HisKA_2:1,PAS_3:1,PAS_9:1,PocR:1,hole:1	HATPase_c,HisKA_2,PAS_3,PAS_9,PocR,hole
GCF_000007065.1	GCF_000007065	WP_011033863.1	GCF_000007065.1-MM_RS10020	hk	mistdb	574	HisKA_7TM:3-230,PAS:232-333,<HisKA>:305-453,HATPase_c:454-557	HisKA_7TM,PAS	<HisKA>:1,HATPase_c:1,HisKA_7TM:1,PAS:1	<HisKA>,HATPase_c,HisKA_7TM,PAS
GCF_000007065.1	GCF_000007065	WP_011033848.1	GCF_000007065.1-MM_RS09935	hk	mistdb	608	PocR:84-246,PAS:270-380,HisKA_2:400-481,HATPase_c:504-606	PocR,PAS	HATPase_c:1,HisKA_2:1,PAS:1,PocR:1	HATPase_c,HisKA_2,PAS,PocR
GCF_000007065.1	GCF_000007065	WP_080503029.1	GCF_000007065.1-MM_RS04940	hk	mistdb	440	MEDS:1-149,HisKA:193-261,HATPase_c:307-419	MEDS	HATPase_c:1,HisKA:1,MEDS:1	HATPase_c,HisKA,MEDS
GCF_000007065.1	GCF_000007065	WP_011032839.1	GCF_000007065.1-MM_RS04635	hk	mistdb	527	PAS_3:79-167,PAS_3:207-296,HisKA_2:319-400,HATPase_c:422-525	PAS_3,PAS_3	HATPase_c:1,HisKA_2:1,PAS_3:2	HATPase_c,HisKA_2,PAS_3
GCF_000007065.1	GCF_000007065	WP_011032470.1	GCF_000007065.1-MM_RS02745	hk	mistdb	901	hole:1-127,GAF_3:128-267,PAS_3:326-413,PAS_9:437-540,PAS:553-663,HisKA_2:683-764,HATPase_c:787-901	GAF_3,PAS_3,PAS_9,PAS	GAF_3:1,HATPase_c:1,HisKA_2:1,PAS:1,PAS_3:1,PAS_9:1,hole:1	GAF_3,HATPase_c,HisKA_2,PAS,PAS_3,PAS_9,hole
GCF_000007065.1	GCF_000007065	WP_011033042.1	GCF_000007065.1-MM_RS17470	hk	mistdb	831	PAS_9:94-191,PAS_9:213-322,PAS_9:345-447,PAS_3:507-594,HisKA_2:617-692,HATPase_c:714-830	PAS_9,PAS_9,PAS_9,PAS_3	HATPase_c:1,HisKA_2:1,PAS_3:1,PAS_9:3	HATPase_c,HisKA_2,PAS_3,PAS_9
GCF_000007065.1	GCF_000007065	WP_048039211.1	GCF_000007065.1-MM_RS00915	hk	mistdb	764	PAS_4:6-126,PAS_3:159-242,PAS_3:287-373,PAS_3:439-526,HisKA_2:549-624,HATPase_c:646-754	PAS_4,PAS_3,PAS_3,PAS_3	HATPase_c:1,HisKA_2:1,PAS_3:3,PAS_4:1	HATPase_c,HisKA_2,PAS_3,PAS_4
GCF_000007065.1	GCF_000007065	WP_011032122.1	GCF_000007065.1-MM_RS00910	hk	mistdb	1584	hole:1-127,PAS_9:128-224,PAS_9:247-359,GAF_2:387-533,PAS_9:556-657,GAF_2:684-824,PAS_4:845-954,PAS_3:1011-1098,PAS_9:1122-1225,PAS:1238-1348,HisKA_2:1368-1443,HATPase_c:1466-1569	PAS_9,PAS_9,GAF_2,PAS_9,GAF_2,PAS_4,PAS_3,PAS_9,PAS	GAF_2:2,HATPase_c:1,HisKA_2:1,PAS:1,PAS_3:1,PAS_4:1,PAS_9:4,hole:1	GAF_2,HATPase_c,HisKA_2,PAS,PAS_3,PAS_4,PAS_9,hole
GCF_000007065.1	GCF_000007065	WP_011035100.1	GCF_000007065.1-MM_RS16665	hk	mistdb	892	PAS:95-201,PAS_8:216-287,HisKA:345-413,HATPase_c:458-569,Response_reg:642-751,Response_reg:765-878	PAS,PAS_8	HATPase_c:1,HisKA:1,PAS:1,PAS_8:1,Response_reg:2	HATPase_c,HisKA,PAS,PAS_8,Response_reg
GCF_000007065.1	GCF_000007065	WP_048045942.1	GCF_000007065.1-MM_RS14960	hk	mistdb	918	hole:1-104,PAS_9:105-203,PAS_9:226-324,HisKA:345-413,HATPase_c:458-570,Response_reg:655-764,Response_reg:777-890	PAS_9,PAS_9	HATPase_c:1,HisKA:1,PAS_9:2,Response_reg:2,hole:1	HATPase_c,HisKA,PAS_9,Response_reg,hole
GCF_000007345.1	GCF_000007345	WP_011024434.1	GCF_000007345.1-MA_RS23780	hk	mistdb	998	PAS_9:66-159,PAS_3:199-287,GAF_2:313-458,PAS_4:477-585,GAF_2:608-752,<HisKA>:739-887,HATPase_c:888-998	PAS_9,PAS_3,GAF_2,PAS_4,GAF_2	<HisKA>:1,GAF_2:2,HATPase_c:1,PAS_3:1,PAS_4:1,PAS_9:1	<HisKA>,GAF_2,HATPase_c,PAS_3,PAS_4,PAS_9
GCF_000007345.1	GCF_000007345	WP_011023920.1	GCF_000007345.1-MA_RS21010	hk	mistdb	729	MEDS:22-184,PAS_3:281-368,PAS_3:408-497,HisKA_2:520-601,HATPase_c:623-727	MEDS,PAS_3,PAS_3	HATPase_c:1,HisKA_2:1,MEDS:1,PAS_3:2	HATPase_c,HisKA_2,MEDS,PAS_3
GCF_000007345.1	GCF_000007345	WP_083755964.1	GCF_000007345.1-MA_RS20675	hk	mistdb	445	MEDS:21-176,HisKA:220-288,HATPase_c:334-445	MEDS	HATPase_c:1,HisKA:1,MEDS:1	HATPase_c,HisKA,MEDS
GCF_000007345.1	GCF_000007345	WP_011023298.1	GCF_000007345.1-MA_RS24765	hk	mistdb	1126	GAF_2:37-183,hole:184-347,PAS_4:348-462,PAS_3:519-606,PAS_4:626-736,PAS_9:756-858,HisKA_2:876-959,HATPase_c:982-1123	GAF_2,PAS_4,PAS_3,PAS_4,PAS_9	GAF_2:1,HATPase_c:1,HisKA_2:1,PAS_3:1,PAS_4:2,PAS_9:1,hole:1	GAF_2,HATPase_c,HisKA_2,PAS_3,PAS_4,PAS_9,hole
GCF_000007345.1	GCF_000007345	WP_011023296.1	GCF_000007345.1-MA_RS25835	hk	mistdb	1447	hole:1-147,PAS_3:148-234,MEDS:245-404,PAS_4:440-547,PAS_4:563-673,PAS_3:730-817,PAS_9:845-946,PAS_9:969-1070,PAS_9:1089-1192,HisKA:1212-1280,HATPase_c:1326-1438	PAS_3,MEDS,PAS_4,PAS_4,PAS_3,PAS_9,PAS_9,PAS_9	HATPase_c:1,HisKA:1,MEDS:1,PAS_3:2,PAS_4:2,PAS_9:3,hole:1	HATPase_c,HisKA,MEDS,PAS_3,PAS_4,PAS_9,hole
GCF_000007345.1	GCF_000007345	WP_011023276.1	GCF_000007345.1-MA_RS17465	hk	mistdb	673	PAS_4:51-179,PAS_3:213-300,PAS_3:341-429,HisKA_2:452-533,HATPase_c:555-671	PAS_4,PAS_3,PAS_3	HATPase_c:1,HisKA_2:1,PAS_3:2,PAS_4:1	HATPase_c,HisKA_2,PAS_3,PAS_4
GCF_000007345.1	GCF_000007345	WP_052279200.1	GCF_000007345.1-MA_RS24775	hk	mistdb	627	PAS_9:18-121,PAS_3:156-245,PAS_3:285-374,HisKA_2:397-478,HATPase_c:501-617	PAS_9,PAS_3,PAS_3	HATPase_c:1,HisKA_2:1,PAS_3:2,PAS_9:1	HATPase_c,HisKA_2,PAS_3,PAS_9
GCF_000007345.1	GCF_000007345	WP_011023403.1	GCF_000007345.1-MA_RS18195	hk	mistdb	707	MASE3:32-270,PAS_3:347-436,HisKA_2:459-534,HATPase_c:556-704	MASE3,PAS_3	HATPase_c:1,HisKA_2:1,MASE3:1,PAS_3:1	HATPase_c,HisKA_2,MASE3,PAS_3
GCF_000007345.1	GCF_000007345	WP_011022840.1	GCF_000007345.1-MA_RS15160	hk	mistdb	885	hole:1-123,GAF_3:124-262,PAS_4:280-394,PAS_3:427-515,PAS_3:555-644,HisKA_2:667-742,HATPase_c:764-880	GAF_3,PAS_4,PAS_3,PAS_3	GAF_3:1,HATPase_c:1,HisKA_2:1,PAS_3:2,PAS_4:1,hole:1	GAF_3,HATPase_c,HisKA_2,PAS_3,PAS_4,hole
GCF_000007345.1	GCF_000007345	WP_011022738.1	GCF_000007345.1-MA_RS24670	hk	mistdb	1061	PAS_9:41-140,PAS_8:153-226,hole:227-326,PAS_3:327-414,PAS:432-542,PAS_3:604-691,PAS_9:719-821,HisKA_2:839-920,HATPase_c:942-1051	PAS_9,PAS_8,PAS_3,PAS,PAS_3,PAS_9	HATPase_c:1,HisKA_2:1,PAS:1,PAS_3:2,PAS_8:1,PAS_9:2,hole:1	HATPase_c,HisKA_2,PAS,PAS_3,PAS_8,PAS_9,hole
GCF_000007345.1	GCF_000007345	WP_052279174.1	GCF_000007345.1-MA_RS24645	hk	mistdb	591	PAS_4:89-178,PAS_9:245-347,HisKA_2:365-446,HATPase_c:469-578	PAS_4,PAS_9	HATPase_c:1,HisKA_2:1,PAS_4:1,PAS_9:1	HATPase_c,HisKA_2,PAS_4,PAS_9
GCF_000007345.1	GCF_000007345	WP_011022691.1	GCF_000007345.1-MA_RS14295	hk	mistdb	514	PAS_3:56-145,PAS_3:185-274,HisKA_2:297-377,HATPase_c:398-514	PAS_3,PAS_3	HATPase_c:1,HisKA_2:1,PAS_3:2	HATPase_c,HisKA_2,PAS_3
GCF_000007345.1	GCF_000007345	WP_011022521.1	GCF_000007345.1-MA_RS13285	hk	mistdb	740	CHASE4:57-210,hole:211-366,PAS_4:367-473,HisKA:490-558,HATPase_c:604-716	CHASE4,PAS_4	CHASE4:1,HATPase_c:1,HisKA:1,PAS_4:1,hole:1	CHASE4,HATPase_c,HisKA,PAS_4,hole
GCF_000007345.1	GCF_000007345	WP_048066374.1	GCF_000007345.1-MA_RS13275	hk	mistdb	711	CHASE4:52-205,hole:206-481,HisKA:482-550,HATPase_c:596-708	CHASE4	CHASE4:1,HATPase_c:1,HisKA:1,hole:1	CHASE4,HATPase_c,HisKA,hole
GCF_000007345.1	GCF_000007345	WP_011022072.1	GCF_000007345.1-MA_RS10815	hk	mistdb	698	MEDS:20-179,PAS_4:215-322,PAS_3:379-466,HisKA_2:489-564,HATPase_c:587-689	MEDS,PAS_4,PAS_3	HATPase_c:1,HisKA_2:1,MEDS:1,PAS_3:1,PAS_4:1	HATPase_c,HisKA_2,MEDS,PAS_3,PAS_4
GCF_000007345.1	GCF_000007345	WP_052279148.1	GCF_000007345.1-MA_RS24525	hk	mistdb	932	MEDS:20-179,PAS_9:215-318,PAS_3:353-442,PAS_3:482-577,PAS_3:617-706,HisKA_2:729-804,HATPase_c:828-930	MEDS,PAS_9,PAS_3,PAS_3,PAS_3	HATPase_c:1,HisKA_2:1,MEDS:1,PAS_3:3,PAS_9:1	HATPase_c,HisKA_2,MEDS,PAS_3,PAS_9
GCF_000007345.1	GCF_000007345	WP_052279146.1	GCF_000007345.1-MA_RS10200	hk	mistdb	507	hole:1-128,PAS_4:129-239,HisKA:256-324,HATPase_c:370-482	PAS_4	HATPase_c:1,HisKA:1,PAS_4:1,hole:1	HATPase_c,HisKA,PAS_4,hole
GCF_000007345.1	GCF_000007345	WP_011021743.1	GCF_000007345.1-MA_RS09030	hk	mistdb	742	CHASE4:66-219,hole:220-375,PAS_4:376-482,HisKA:499-567,HATPase_c:613-724	CHASE4,PAS_4	CHASE4:1,HATPase_c:1,HisKA:1,PAS_4:1,hole:1	CHASE4,HATPase_c,HisKA,PAS_4,hole
GCF_000007345.1	GCF_000007345	WP_011021708.1	GCF_000007345.1-MA_RS08850	hk	mistdb	446	hole:1-115,PAS_3:116-205,HisKA_2:228-302,HATPase_c:324-443	PAS_3	HATPase_c:1,HisKA_2:1,PAS_3:1,hole:1	HATPase_c,HisKA_2,PAS_3,hole
GCF_000007345.1	GCF_000007345	WP_011021651.1	GCF_000007345.1-MA_RS08535	hk	mistdb	1058	hole:1-138,PAS_3:139-224,GAF_2:259-405,PAS_9:435-549,PAS_3:609-696,PAS_9:721-823,HisKA_2:841-922,HATPase_c:943-1050	PAS_3,GAF_2,PAS_9,PAS_3,PAS_9	GAF_2:1,HATPase_c:1,HisKA_2:1,PAS_3:2,PAS_9:2,hole:1	GAF_2,HATPase_c,HisKA_2,PAS_3,PAS_9,hole
GCF_000007345.1	GCF_000007345	WP_011021650.1	GCF_000007345.1-MA_RS08530	hk	mistdb	886	PAS_9:30-132,PAS_9:155-255,hole:256-412,PAS_8:413-461,PAS_9:540-642,HisKA_2:660-741,HATPase_c:763-871	PAS_9,PAS_9,PAS_8,PAS_9	HATPase_c:1,HisKA_2:1,PAS_8:1,PAS_9:3,hole:1	HATPase_c,HisKA_2,PAS_8,PAS_9,hole
GCF_000007345.1	GCF_000007345	WP_048065172.1	GCF_000007345.1-MA_RS08465	hk	mistdb	1181	hole:1-135,PAS_4:136-226,PAS_9:246-358,GAF_2:386-532,PAS_4:558-669,PAS_3:706-793,PAS_3:858-944,HisKA_2:967-1042,HATPase_c:1065-1166	PAS_4,PAS_9,GAF_2,PAS_4,PAS_3,PAS_3	GAF_2:1,HATPase_c:1,HisKA_2:1,PAS_3:2,PAS_4:2,PAS_9:1,hole:1	GAF_2,HATPase_c,HisKA_2,PAS_3,PAS_4,PAS_9,hole
GCF_000007345.1	GCF_000007345	WP_048065171.1	GCF_000007345.1-MA_RS08455	hk	mistdb	903	hole:1-127,GAF_3:128-267,PAS_3:326-413,PAS_9:437-540,PAS_9:563-665,HisKA_2:683-764,HATPase_c:786-893	GAF_3,PAS_3,PAS_9,PAS_9	GAF_3:1,HATPase_c:1,HisKA_2:1,PAS_3:1,PAS_9:2,hole:1	GAF_3,HATPase_c,HisKA_2,PAS_3,PAS_9,hole
GCF_000007345.1	GCF_000007345	WP_048065170.1	GCF_000007345.1-MA_RS08450	hk	mistdb	946	hole:1-120,PocR:121-283,PAS_9:352-437,PAS_9:460-561,PAS_3:621-708,HisKA_2:731-806,HATPase_c:829-936	PocR,PAS_9,PAS_9,PAS_3	HATPase_c:1,HisKA_2:1,PAS_3:1,PAS_9:2,PocR:1,hole:1	HATPase_c,HisKA_2,PAS_3,PAS_9,PocR,hole
GCF_000007345.1	GCF_000007345	WP_011022324.1	GCF_000007345.1-MA_RS12170	hk	mistdb	725	CHASE4:52-206,hole:207-366,PAS_4:367-477,HisKA:495-563,HATPase_c:609-721	CHASE4,PAS_4	CHASE4:1,HATPase_c:1,HisKA:1,PAS_4:1,hole:1	CHASE4,HATPase_c,HisKA,PAS_4,hole
GCF_000007345.1	GCF_000007345	WP_011022245.1	GCF_000007345.1-MA_RS11765	hk	mistdb	680	hole:1-130,GAF_3:131-270,PAS_4:327-441,HisKA_2:456-534,HATPase_c:556-668	GAF_3,PAS_4	GAF_3:1,HATPase_c:1,HisKA_2:1,PAS_4:1,hole:1	GAF_3,HATPase_c,HisKA_2,PAS_4,hole
GCF_000007345.1	GCF_000007345	WP_011021484.1	GCF_000007345.1-MA_RS07625	hk	mistdb	1066	hole:1-189,PAS_4:190-304,PAS_3:336-425,PAS_3:465-554,PAS_3:594-683,PAS_3:723-812,HisKA_2:835-910,HATPase_c:932-1051	PAS_4,PAS_3,PAS_3,PAS_3,PAS_3	HATPase_c:1,HisKA_2:1,PAS_3:4,PAS_4:1,hole:1	HATPase_c,HisKA_2,PAS_3,PAS_4,hole
GCF_000007345.1	GCF_000007345	WP_011021477.1	GCF_000007345.1-MA_RS24430	hk	mistdb	677	hole:1-366,PAS_3:367-454,HisKA_2:477-552	PAS_3	HisKA_2:1,PAS_3:1,hole:1	HisKA_2,PAS_3,hole
GCF_000007345.1	GCF_000007345	WP_011021879.1	GCF_000007345.1-MA_RS09795	hk	mistdb	562	GAF_2:33-179,PAS_3:246-332,HisKA_2:355-436,HATPase_c:458-560	GAF_2,PAS_3	GAF_2:1,HATPase_c:1,HisKA_2:1,PAS_3:1	GAF_2,HATPase_c,HisKA_2,PAS_3
GCF_000007345.1	GCF_000007345	WP_011021845.1	GCF_000007345.1-MA_RS24495	hk	mistdb	1254	hole:1-149,PAS_3:150-239,PAS_3:279-368,PAS_3:408-497,PAS_3:537-626,PAS_3:666-756,PAS_3:796-886,PAS_3:926-1015,HisKA_2:1038-1113,HATPase_c:1134-1254	PAS_3,PAS_3,PAS_3,PAS_3,PAS_3,PAS_3,PAS_3	HATPase_c:1,HisKA_2:1,PAS_3:7,hole:1	HATPase_c,HisKA_2,PAS_3,hole
GCF_000007345.1	GCF_000007345	WP_011022273.1	GCF_000007345.1-MA_RS11915	hk	mistdb	572	PAS_9:79-182,PAS_9:205-305,HisKA:326-394,HATPase_c:440-552	PAS_9,PAS_9	HATPase_c:1,HisKA:1,PAS_9:2	HATPase_c,HisKA,PAS_9
